Robot X, Robot Y, Robot Yaw
(1.69, -1.21, 1.61),
(1.69, -1.2, 1.61),
(1.69, -1.2, 1.62),
(1.69, -1.19, 1.62),
(1.69, -1.19, 1.62),
(1.69, -1.18, 1.62),
(1.69, -1.18, 1.62),
(1.69, -1.17, 1.62),
(1.69, -1.17, 1.62),
(1.69, -1.16, 1.62),
(1.69, -1.16, 1.62),
(1.69, -1.15, 1.62),
(1.69, -1.15, 1.62),
(1.69, -1.14, 1.62),
(1.69, -1.14, 1.62),
(1.69, -1.13, 1.63),
(1.69, -1.13, 1.63),
(1.69, -1.12, 1.63),
(1.69, -1.12, 1.64),
(1.69, -1.11, 1.64),
(1.69, -1.11, 1.65),
(1.69, -1.1, 1.65),
(1.69, -1.1, 1.65),
(1.69, -1.09, 1.66),
(1.69, -1.09, 1.66),
(1.69, -1.08, 1.67),
(1.68, -1.08, 1.67),
(1.68, -1.07, 1.68),
(1.68, -1.07, 1.69),
(1.68, -1.06, 1.69),
(1.68, -1.06, 1.7),
(1.68, -1.05, 1.71),
(1.68, -1.05, 1.71),
(1.68, -1.04, 1.72),
(1.68, -1.04, 1.73),
(1.68, -1.03, 1.74),
(1.68, -1.03, 1.75),
(1.68, -1.02, 1.76),
(1.68, -1.02, 1.77),
(1.67, -1.01, 1.78),
(1.67, -1.01, 1.79),
(1.67, -1.0, 1.8),
(1.67, -1.0, 1.81),
(1.67, -0.99, 1.82),
(1.67, -0.99, 1.84),
(1.67, -0.99, 1.85),
(1.67, -0.98, 1.86),
(1.67, -0.98, 1.87),
(1.66, -0.97, 1.89),
(1.66, -0.97, 1.9),
(1.66, -0.96, 1.92),
(1.66, -0.96, 1.93),
(1.66, -0.95, 1.95),
(1.66, -0.95, 1.96),
(1.65, -0.94, 1.98),
(1.65, -0.94, 2.0),
(1.65, -0.94, 2.01),
(1.65, -0.93, 2.03),
(1.65, -0.93, 2.04),
(1.64, -0.92, 2.06),
(1.64, -0.92, 2.07),
(1.64, -0.91, 2.09),
(1.64, -0.91, 2.11),
(1.63, -0.91, 2.13),
(1.63, -0.9, 2.14),
(1.63, -0.9, 2.16),
(1.63, -0.89, 2.18),
(1.62, -0.89, 2.19),
(1.62, -0.89, 2.21),
(1.62, -0.88, 2.23),
(1.61, -0.88, 2.25),
(1.61, -0.87, 2.26),
(1.61, -0.87, 2.28),
(1.6, -0.87, 2.3),
(1.6, -0.86, 2.32),
(1.6, -0.86, 2.33),
(1.59, -0.86, 2.35),
(1.59, -0.85, 2.37),
(1.59, -0.85, 2.39),
(1.58, -0.85, 2.4),
(1.58, -0.84, 2.42),
(1.58, -0.84, 2.44),
(1.57, -0.84, 2.45),
(1.57, -0.83, 2.47),
(1.57, -0.83, 2.48),
(1.56, -0.83, 2.5),
(1.56, -0.83, 2.52),
(1.55, -0.82, 2.53),
(1.55, -0.82, 2.55),
(1.55, -0.82, 2.57),
(1.54, -0.82, 2.58),
(1.54, -0.81, 2.6),
(1.53, -0.81, 2.62),
(1.53, -0.81, 2.63),
(1.53, -0.81, 2.65),
(1.52, -0.8, 2.66),
(1.52, -0.8, 2.68),
(1.51, -0.8, 2.69),
(1.51, -0.8, 2.71),
(1.5, -0.79, 2.72),
(1.5, -0.79, 2.73),
(1.49, -0.79, 2.75),
(1.49, -0.79, 2.76),
(1.49, -0.79, 2.78),
(1.48, -0.79, 2.8),
(1.48, -0.78, 2.81),
(1.47, -0.78, 2.83),
(1.47, -0.78, 2.84),
(1.46, -0.78, 2.86),
(1.46, -0.78, 2.87),
(1.45, -0.78, 2.89),
(1.45, -0.78, 2.91),
(1.44, -0.77, 2.92),
(1.44, -0.77, 2.94),
(1.43, -0.77, 2.95),
(1.43, -0.77, 2.96),
(1.43, -0.77, 2.97),
(1.42, -0.77, 2.98),
(1.42, -0.77, 2.99),
(1.41, -0.77, 3.01),
(1.41, -0.77, 3.02),
(1.4, -0.77, 3.04),
(1.4, -0.77, 3.05),
(1.39, -0.77, 3.06),
(1.39, -0.77, 3.08),
(1.38, -0.77, 3.09),
(1.38, -0.77, 3.1),
(1.37, -0.77, 3.11),
(1.37, -0.77, 3.12),
(1.36, -0.77, 3.13),
(1.36, -0.77, -3.14),
(1.35, -0.77, -3.13),
(1.35, -0.77, -3.12),
(1.34, -0.77, -3.12),
(1.34, -0.77, -3.11),
(1.33, -0.77, -3.1),
(1.33, -0.77, -3.1),
(1.32, -0.77, -3.09),
(1.32, -0.77, -3.09),
(1.31, -0.77, -3.08),
(1.31, -0.77, -3.08),
